Class,AreaABD,AspectRatio,AverageBlue,AverageGreen,AverageRed,BiovolumeCylinder,BiovolumeP.Spheroid,BiovolumeSphere,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,DiameterABD,DiameterESD,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Length,OriginalReferenceID,RatioBlue/Green,RatioRed/Blue,RatioRed/Green,SigmaIntensity,Symmetry,Timestamp,VolumeABD,Width
Tetrahymena,596.4512,0.3803,88.2739,92.8713,96.604,18102.1671,5064.533,10957.8712,0.7072,0.6629,1.414,120.5373,1,27.5577,34.58,0.5203,43.9939,22.8889,50.05,C4E296D9-AA65-48AB-BA0C-D1B29B6E7CFE,0.9505,1.0944,1.0402,25.4573,0.8444,2019-11-11T09:34:59.354,1.10E+04,13.65
Tetrahymena,862.5144,0.3505,93.6198,97.9728,101.0963,24154.5363,8670.7579,19055.1911,0.6354,0.62,1.5738,145.9407,1,33.1389,42.8206,0.3918,58.5176,22.9251,62.79,B50549D7-51A7-4CD8-A7C9-7F5B44F38ED5,0.9556,1.0799,1.0319,22.2987,0.8138,2019-11-11T09:34:59.354,1.91E+04,17.29
Tetrahymena,507.8932,0.3695,93.7948,98.2463,102.7948,14845.7037,3724.0404,8610.3811,0.703,0.6484,1.4224,113.2497,1,25.4297,32.1534,0.5107,41.6912,21.2928,44.59,DDD53349-84F0-434A-8F78-927CCD6500E1,0.9547,1.096,1.0463,16.7771,0.8088,2019-11-11T09:34:59.354,8.61E+03,11.83
Tetrahymena,370.2315,0.6309,97.2311,106.0189,106.6887,11147.6211,3743.6218,5358.8784,0.9408,0.9015,1.0629,86.497,1,21.7116,23.8116,1,24.212,24.212,30.03,E90D9D90-2A86-4233-A9FD-01AF1F22E993,0.9171,1.0973,1.0063,19.5857,0.8682,2019-11-11T09:34:59.354,5.36E+03,15.47
Tetrahymena,396.8143,0.4483,102.0404,101.6771,102.8296,15359.5916,3041.4782,5946.2711,0.7992,0.7422,1.2512,96.5321,1,22.4775,27.0472,1,26.942,26.942,37.31,998A0077-3043-46DC-979F-A35B857A8750,1.0036,1.0077,1.0113,20.6647,0.8276,2019-11-11T09:34:59.354,5.95E+03,13.65
Tetrahymena,363.0258,0.2982,108.5742,110.8852,112.6651,8176.9496,1616.253,5203.1945,0.5831,0.5418,1.715,106.8799,1,21.4993,30.1816,0.3267,46.0338,15.0388,46.41,574F3415-2E05-486F-B8BF-44AD4D1EBF08,0.9792,1.0377,1.0161,17.9761,0.7875,2019-11-11T09:34:59.466,5.20E+03,10.01
Tetrahymena,686.5497,0.4108,116.3609,121.216,121.4438,23171.5628,7232.3338,13532.3063,0.7293,0.699,1.3712,127.3099,1,29.5659,36.7034,0.5782,44.5218,25.7423,50.05,EF1F34AB-577C-4FD8-9C4D-B349D9B02520,0.9599,1.0437,1.0019,18.5139,0.7882,2019-11-11T09:34:59.466,1.35E+04,15.47
Tetrahymena,632.3203,0.4163,90.1987,96.0032,98.4353,19815.9834,6042.2635,11961.0556,0.7191,0.7084,1.3905,120.5339,1,28.3742,34.58,0.5499,43.6997,24.0283,50.05,31988D5B-9A65-4BD0-BBDB-D50A0F0C2DDF,0.9395,1.0913,1.0253,25.4369,0.9041,2019-11-11T09:34:59.466,1.20E+04,17.29
Tetrahymena,788.4757,0.3874,91.3077,95.6101,98.6048,22903.389,8480.5461,16655.0624,0.6647,0.6583,1.5045,136.389,1,31.6847,39.9388,0.4367,53.4759,23.3521,55.51,9D0D1CF6-017B-49D2-8FF9-D17084181723,0.955,1.0799,1.0313,24.4429,0.6373,2019-11-11T09:34:59.466,1.67E+04,19.11
Tetrahymena,472.968,0.3641,92.1811,94.8425,97.9646,12134.688,3254.4279,7737.693,0.6417,0.6402,1.5584,110.7102,1,24.5398,31.5466,0.4008,45.8157,18.3638,46.41,CC89A2AB-B81F-430B-B1EC-F4C0076E003E,0.9719,1.0627,1.0329,18.7045,0.8428,2019-11-11T09:34:59.466,7.74E+03,11.83
Tetrahymena,455.6238,0.719,108.0769,116.2713,117.085,13782.3142,5789.3953,7315.9957,0.9516,0.945,1.0509,92.6214,1,24.0856,25.7834,1,25.9863,25.9863,30.03,4A3DEF04-E98C-4513-AF78-4C36D902F319,0.9295,1.0833,1.007,14.0792,0.9835,2019-11-11T09:34:59.466,7.32E+03,20.93
Tetrahymena,435.9042,0.4223,103.318,103.9414,105.6276,14914.3026,3347.52,6846.2124,0.7657,0.7119,1.3059,102.4236,1,23.5587,28.8166,0.7268,33.0041,23.9868,40.95,D3FEEC3E-8685-4B30-A6C7-41C09663EB29,0.994,1.0224,1.0162,20.8666,0.8331,2019-11-11T09:34:59.466,6.85E+03,13.65
