"","tre","rep","day","Date","nut","temp","Class","density","nut_num","temp_num","log_density","treatNum","width","area","circ","bioVsphe","length","symm","sigmaInt","num_ind","all_rep"
"391","Full25C","1",4,"2019/11/15","Full","25C","Euplotes",4.46,1,25,1.69744878975681,2,87.0566666666667,9094.04963333333,0.6047,662833.5078,158.643333333333,0.7933,28.2405666666667,3,7
"392","Full25C","2",4,"2019/11/15","Full","25C","Euplotes",6.26,1,25,1.9823798288367,2,90.545,9696.1989,0.45605,721590.544825,165.62,0.681025,31.51405,4,8
"393","Full25C","3",4,"2019/11/15","Full","25C","Euplotes",3.12,1,25,1.41585316336144,2,89.18,8377.61075,0.40105,577654.2377,157.43,0.6547,30.2778,2,9
"394","Full25C","4",4,"2019/11/15","Full","25C","Euplotes",9.4,1,25,2.34180580614733,2,97.0666666666667,9965.99235,0.40615,757937.400966667,160.463333333333,0.648733333333333,30.56775,6,10
"395","Full25C","5",4,"2019/11/15","Full","25C","Euplotes",11,1,25,2.484906649788,2,80.21,7128.19021428571,0.368385714285714,463692.927371429,142.35,0.645085714285714,30.3329714285714,7,11
"396","Full25C","6",4,"2019/11/15","Full","25C","Euplotes",22,1,25,3.13549421592915,2,84.37,9186.36055,0.44695,680815.537885714,162.63,0.610835714285714,32.4414857142857,14,12
"397","Half22C","1",4,"2019/11/15","Half","22C","Euplotes",6.26,0.5,22,1.9823798288367,3,85.54,7885.99135,0.562525,537279.763275,135.59,0.621125,31.952475,4,13
"398","Half22C","2",4,"2019/11/15","Half","22C","Euplotes",0,0.5,22,0,3,NA,NA,NA,NA,NA,NA,NA,NA,14
"399","Half22C","3",4,"2019/11/15","Half","22C","Euplotes",4.7,0.5,22,1.7404661748405,3,103.436666666667,12421.3328333333,0.373866666666667,1047511.3777,184.123333333333,0.620466666666667,30.406,3,15
"400","Half22C","4",4,"2019/11/15","Half","22C","Euplotes",4.7,0.5,22,1.7404661748405,3,84.0233333333333,8935.44073333333,0.2652,638688.5761,173.81,0.5524,34.2902,3,16
"401","Half22C","5",4,"2019/11/15","Half","22C","Euplotes",4.68,0.5,22,1.73695123273306,3,103.436666666667,9702.9264,0.4343,723214.174533333,154.396666666667,0.588933333333333,28.8768,3,17
"402","Half22C","6",4,"2019/11/15","Half","22C","Euplotes",6.24,0.5,22,1.97962120639763,3,93.275,8133.1375,0.503,553811.816125,130.585,0.652125,29.140425,4,18
