Class,AreaABD,AspectRatio,AverageBlue,AverageGreen,AverageRed,BiovolumeCylinder,BiovolumeP.Spheroid,BiovolumeSphere,Circularity,CircularityHu,Compactness,ConvexPerimeter,Convexity,DiameterABD,DiameterESD,GeodesicAspectRatio,GeodesicLength,GeodesicThickness,Length,OriginalReferenceID,RatioBlue/Green,RatioRed/Blue,RatioRed/Green,SigmaIntensity,Symmetry,Timestamp,VolumeABD,Width
4XEuplotes,4528.6421,0.7214,86.0262,91.9446,94.2324,240813.3387,198268.5502,229253.4081,0.7179,0.9268,1.393,269.1636,0.9683,75.9345,81.7484,0.5465,100.878,55.1312,95.55,A4D1303F-1929-4584-A7E6-EF57277CFDDE,0.9356,1.0954,1.0249,30.3687,0.5875,2019-11-11T09:11:37.287,2.29E+05,68.25
4XEuplotes,4660.2904,0.486,98.856,104.0105,106.2567,175585.2552,174763.3701,239322.353,0.4962,0.7611,2.0155,305.3652,0.9167,77.0303,93.3762,0.2447,155.1497,37.9598,122.85,028D9E7F-8792-4E8D-896C-C6758BF7E531,0.9504,1.0749,1.0216,27.902,0.5714,2019-11-11T09:11:28.505,2.39E+05,59.15
4XEuplotes,4660.2904,0.6444,114.7758,118.4628,120.0482,125768.0743,218104.85,239322.353,0.304,0.8636,3.289,294.1888,0.9112,77.0303,89.8372,0.1218,221.0129,26.9173,108.29,56BDAE33-5230-4201-B96A-77DB16FFA319,0.9689,1.0459,1.0134,26.739,0.5414,2019-11-11T09:11:41.930,2.39E+05,66.43
4XEuplotes,4717.1942,0.5586,84.4808,92.2993,97.5853,122058.6515,234599.7639,243719.0256,0.23,0.8076,4.3485,347.4981,0.7731,77.4991,106.7734,0.0864,275.1067,23.7678,126.49,8289852B-E269-47BE-8F9B-418CECB47C71,0.9153,1.1551,1.0573,27.1715,0.5892,2019-11-11T09:11:59.621,2.44E+05,79.17
4XEuplotes,4726.182,0.3519,71.6072,76.5384,79.32,94228.6834,156556.1481,244415.9065,0.2025,0.5629,4.9381,364.0835,0.708,77.5729,112.2838,0.0744,278.7923,20.7447,151.97,779D390F-556B-403D-AA5E-64B542FCDF7E,0.9356,1.1077,1.0363,35.3477,0.2141,2019-11-11T09:12:00.374,2.44E+05,59.15
4XEuplotes,4735.1707,0.3464,65.8958,71.5781,75.0458,104124.8454,145293.0043,245113.5138,0.2358,0.5813,4.241,357.1097,0.8324,77.6467,109.8066,0.089,255.7754,22.7668,151.97,D06C455E-EA8B-4C5E-8CDD-A78C92D6BA80,0.9206,1.1389,1.0484,34.0094,0.5526,2019-11-11T09:11:51.592,2.45E+05,48.23
4XEuplotes,4750.1536,0.3978,83.5765,89.5171,92.2603,213198.3622,171381.0221,246277.8049,0.5409,0.6765,1.8486,332.4745,0.9674,77.7694,102.0212,0.2838,149.9354,42.5495,141.05,8246B0DA-2E90-42F1-B6C5-F70187109ADB,0.9336,1.1039,1.0306,33.887,0.7757,2019-11-11T09:12:13.924,2.46E+05,53.69
4XEuplotes,4774.1309,0.8317,79.8511,87.3955,91.1114,114959.6539,255612.0488,248144.8567,0.2688,0.9184,3.7203,311.4488,0.8175,77.9655,95.55,0.1043,237.7704,24.8113,115.57,EF7370C1-0740-4B1C-92EC-D840A16C906F,0.9137,1.141,1.0425,31.0679,0.202,2019-11-11T09:11:25.620,2.48E+05,75.53
4XEuplotes,4798.1139,0.3282,79.2755,85.7771,88.0141,102568.2648,142124.6839,250017.0503,0.2225,0.5597,4.495,367.7687,0.8044,78.161,113.4972,0.0831,266.4957,22.1369,157.43,7D0FCDB3-07D8-45BA-9226-9EF91F31FB38,0.9242,1.1102,1.0261,36.2787,0.5368,2019-11-11T09:12:21.452,2.50E+05,55.51
4XEuplotes,4846.0969,0.5269,84.9955,92.4938,95.1726,135535.1101,196648.4767,253776.8176,0.3231,0.7929,3.0946,325.7949,0.8668,78.5509,99.7966,0.1317,215.0241,28.3294,128.31,0A910978-25EB-4E73-AFA4-666785D7846C,0.9189,1.1197,1.029,31.9373,0.5353,2019-11-11T09:11:43.560,2.54E+05,57.33
